Chr	Start	End	species	size	color
Contig0003396	1	7447	MIII	12	25252
Contig0000802	1	22961	MIII	12	25252
Contig0010803	1	355628	MIII	12	25252
Contig0000442	1	77543	MIII	12	25252
Contig0011210	1	25196	MIII	12	25252
Contig0003069	1	22214	MIII	12	25252
Contig0002098	1	99125	MIII	12	25252
Contig0005164	1	11948	MIII	12	25252
Contig0004332	1	45573	MIII	12	25252
Contig0008883	1	86837	MIII	12	25252
Contig0008046	1	37398	MIII	12	25252
Contig0002305	1	71373	MIII	12	25252
Contig0007898	1	1193858	MIII	12	25252
Contig0005880	1	10243	MIII	12	25252
Contig0009818	1	24377	MIII	12	25252
Contig0008588	1	11180	MIII	12	25252
Contig0007324	1	132412	MIII	12	25252
Contig0007002	1	93221	MIII	12	25252
Contig0000350	1	50241	MIII	12	25252
Contig0004041	1	25178	MIII	12	25252
Contig0009867	1	25516	MIII	12	25252
Contig0004177	1	55794	MIII	12	25252
Contig0004611	1	33538	MIII	12	25252
Contig0008061	1	45632	MIII	12	25252
Contig0000707	1	152814	MIII	12	25252
Contig0006793	1	101851	MIII	12	25252
Contig0003198	1	98750	MIII	12	25252
Contig0004806	1	49740	MIII	12	25252
Contig0006386	1	15604	MIII	12	25252
Contig0008733	1	48699	MIII	12	25252
Contig0011165	1	35704	MIII	12	25252
Contig0006773	1	24044	MIII	12	25252
Contig0001416	1	227895	MIII	12	25252
Contig0008011	1	44457	MIII	12	25252
Contig0000005	1	155805	MIII	12	25252
Contig0008910	1	4798	MIII	12	25252
Contig0001485	1	30122	MIII	12	25252
Contig0007378	1	5115	MIII	12	25252
Contig0000305	1	8890	MIII	12	25252
Contig0002360	1	28514	MIII	12	25252
Contig0010854	1	59100	MIII	12	25252
Contig0006700	1	44882	MIII	12	25252
Contig0008998	1	43001	MIII	12	25252
Contig0001640	1	5486	MIII	12	25252
Contig0002686	1	4613	MIII	12	25252
Contig0005216	1	38920	MIII	12	25252
Contig0011226	1	13097	MIII	12	25252
Contig0003942	1	11535	MIII	12	25252
Contig0010174	1	19874	MIII	12	25252
Contig0010604	1	28816	MIII	12	25252
Contig0010907	1	7467	MIII	12	25252
Contig0000256	1	29009	MIII	12	25252
Contig0011245	1	25990	MIII	12	25252
Contig0007105	1	22523	MIII	12	25252
Contig0006862	1	31534	MIII	12	25252
Contig0000583	1	61314	MIII	12	25252
Contig0009244	1	47041	MIII	12	25252
Contig0001135	1	178361	MIII	12	25252
Contig0006172	1	35762	MIII	12	25252
Contig0002012	1	36650	MIII	12	25252
Contig0002121	1	54225	MIII	12	25252
Contig0004057	1	19207	MIII	12	25252
Contig0010449	1	1575751	MIII	12	25252
Contig0004185	1	211576	MIII	12	25252
Contig0008867	1	49596	MIII	12	25252
Contig0005026	1	27253	MIII	12	25252
Contig0009539	1	9221	MIII	12	25252
Contig0007739	1	69979	MIII	12	25252
Contig0000342	1	50214	MIII	12	25252
Contig0010762	1	124286	MIII	12	25252
Contig0005440	1	57502	MIII	12	25252
Contig0005931	1	179360	MIII	12	25252
Contig0002559	1	55818	MIII	12	25252
Contig0005426	1	57810	MIII	12	25252
Contig0003031	1	26830	MIII	12	25252
Contig0007227	1	36955	MIII	12	25252
Contig0000485	1	41080	MIII	12	25252
Contig0009819	1	36082	MIII	12	25252
Contig0007523	1	19146	MIII	12	25252
Contig0009941	1	93651	MIII	12	25252
Contig0006346	1	21107	MIII	12	25252
Contig0003845	1	20022	MIII	12	25252
Contig0003035	1	809	MIII	12	25252
Contig0007919	1	57678	MIII	12	25252
Contig0009742	1	388173	MIII	12	25252
Contig0005381	1	28491	MIII	12	25252
Contig0003414	1	57877	MIII	12	25252
Contig0003530	1	23866	MIII	12	25252
Contig0006818	1	67773	MIII	12	25252
Contig0007356	1	49320	MIII	12	25252
Contig0007185	1	102878	MIII	12	25252
Contig0002985	1	56310	MIII	12	25252
Contig0002661	1	45579	MIII	12	25252
Contig0008732	1	13991	MIII	12	25252
Contig0002636	1	18562	MIII	12	25252
Contig0006621	1	47196	MIII	12	25252
Contig0011283	1	20718	MIII	12	25252
Contig0007594	1	80974	MIII	12	25252
Contig0006908	1	11136	MIII	12	25252
Contig0004578	1	7276	MIII	12	25252
Contig0008575	1	72719	MIII	12	25252
Contig0000881	1	34856	MIII	12	25252
Contig0005008	1	31007	MIII	12	25252
Contig0008109	1	16088	MIII	12	25252
Contig0008278	1	14289	MIII	12	25252
Contig0007540	1	16323	MIII	12	25252
Contig0001391	1	29938	MIII	12	25252
Contig0007755	1	11723	MIII	12	25252
Contig0002071	1	27082	MIII	12	25252
Contig0005229	1	201293	MIII	12	25252
Contig0000400	1	83682	MIII	12	25252
Contig0004990	1	976561	MIII	12	25252
Contig0009990	1	18659	MIII	12	25252
Contig0008230	1	77275	MIII	12	25252
Contig0010689	1	427377	MIII	12	25252
Contig0008958	1	28494	MIII	12	25252
Contig0000970	1	54118	MIII	12	25252
Contig0011062	1	49704	MIII	12	25252
Contig0006267	1	15975	MIII	12	25252
Contig0004086	1	36037	MIII	12	25252
Contig0008471	1	17609	MIII	12	25252
Contig0004074	1	123051	MIII	12	25252
Contig0004738	1	11363	MIII	12	25252
Contig0010274	1	35618	MIII	12	25252
Contig0000510	1	56046	MIII	12	25252
Contig0003248	1	2668	MIII	12	25252
Contig0006471	1	165149	MIII	12	25252
Contig0001700	1	31413	MIII	12	25252
Contig0001662	1	138772	MIII	12	25252
Contig0004180	1	61622	MIII	12	25252
Contig0001398	1	19417	MIII	12	25252
Contig0000457	1	189039	MIII	12	25252
Contig0003649	1	4398	MIII	12	25252
Contig0001666	1	110609	MIII	12	25252
Contig0010231	1	31535	MIII	12	25252
Contig0000959	1	13096	MIII	12	25252
Contig0007485	1	70599	MIII	12	25252
Contig0007782	1	107914	MIII	12	25252
Contig0004980	1	19884	MIII	12	25252
Contig0003788	1	133043	MIII	12	25252
Contig0000763	1	52108	MIII	12	25252
Contig0009723	1	24923	MIII	12	25252
Contig0002143	1	196915	MIII	12	25252
Contig0001446	1	68362	MIII	12	25252
Contig0006602	1	27642	MIII	12	25252
Contig0001087	1	33216	MIII	12	25252
Contig0009531	1	85101	MIII	12	25252
Contig0006085	1	76302	MIII	12	25252
Contig0004457	1	12091	MIII	12	25252
Contig0011153	1	88380	MIII	12	25252
Contig0003436	1	95815	MIII	12	25252
Contig0003356	1	281429	MIII	12	25252
Contig0004104	1	42118	MIII	12	25252
Contig0004252	1	133414	MIII	12	25252
Contig0001806	1	16339	MIII	12	25252
Contig0006889	1	11312	MIII	12	25252
Contig0008164	1	8450	MIII	12	25252
Contig0008705	1	59592	MIII	12	25252
Contig0003181	1	47706	MIII	12	25252
Contig0004419	1	8813	MIII	12	25252
Contig0007674	1	11451	MIII	12	25252
Contig0006456	1	7541	MIII	12	25252
Contig0008132	1	9942	MIII	12	25252
Contig0004016	1	42162	MIII	12	25252
Contig0007724	1	24077	MIII	12	25252
Contig0000734	1	196251	MIII	12	25252
Contig0006797	1	80410	MIII	12	25252
Contig0001870	1	45390	MIII	12	25252
Contig0005540	1	29100	MIII	12	25252
Contig0000588	1	19999	MIII	12	25252
Contig0006836	1	10991	MIII	12	25252
Contig0005173	1	35694	MIII	12	25252
Contig0009712	1	71971	MIII	12	25252
Contig0007932	1	16123	MIII	12	25252
Contig0002257	1	27818	MIII	12	25252
Contig0001489	1	102162	MIII	12	25252
Contig0002691	1	432929	MIII	12	25252
Contig0000422	1	21354	MIII	12	25252
Contig0005061	1	201974	MIII	12	25252
Contig0010505	1	172128	MIII	12	25252
Contig0010147	1	7661	MIII	12	25252
Contig0010842	1	13795	MIII	12	25252
Contig0000331	1	90714	MIII	12	25252
Contig0009508	1	10540	MIII	12	25252
Contig0008244	1	99213	MIII	12	25252
Contig0008727	1	83761	MIII	12	25252
Contig0010319	1	145676	MIII	12	25252
Contig0008458	1	51178	MIII	12	25252
Contig0004023	1	10743	MIII	12	25252
Contig0001504	1	32140	MIII	12	25252
Contig0003777	1	11026	MIII	12	25252
Contig0011194	1	226088	MIII	12	25252
Contig0007683	1	55090	MIII	12	25252
Contig0007411	1	19006	MIII	12	25252
Contig0004174	1	24930	MIII	12	25252
Contig0010099	1	34382	MIII	12	25252
Contig0009494	1	24115	MIII	12	25252
Contig0008962	1	22951	MIII	12	25252
Contig0006052	1	50214	MIII	12	25252
Contig0007348	1	26566	MIII	12	25252
Contig0007947	1	8385	MIII	12	25252
Contig0007308	1	38692	MIII	12	25252
Contig0002363	1	12960	MIII	12	25252
Contig0007993	1	223184	MIII	12	25252
Contig0006851	1	8393	MIII	12	25252
Contig0000545	1	34120	MIII	12	25252
Contig0001071	1	69482	MIII	12	25252
Contig0001513	1	19659	MIII	12	25252
Contig0002732	1	14373	MIII	12	25252
Contig0005778	1	12383	MIII	12	25252
Contig0007568	1	19134	MIII	12	25252
Contig0000049	1	32258	MIII	12	25252
Contig0002258	1	11305	MIII	12	25252
Contig0009962	1	31158	MIII	12	25252
Contig0001001	1	93165	MIII	12	25252
Contig0003459	1	32900	MIII	12	25252
Contig0002635	1	13249	MIII	12	25252
Contig0003188	1	133281	MIII	12	25252
Contig0005614	1	250788	MIII	12	25252
Contig0003420	1	447517	MIII	12	25252
Contig0001194	1	26158	MIII	12	25252
Contig0003677	1	68554	MIII	12	25252
Contig0003482	1	189899	MIII	12	25252
Contig0002764	1	58479	MIII	12	25252
Contig0005554	1	128319	MIII	12	25252
Contig0008057	1	8278	MIII	12	25252
Contig0000096	1	51861	MIII	12	25252
Contig0009981	1	16075	MIII	12	25252
Contig0001704	1	107693	MIII	12	25252
Contig0009190	1	7124	MIII	12	25252
Contig0007209	1	158325	MIII	12	25252
Contig0002362	1	56178	MIII	12	25252
Contig0008068	1	136975	MIII	12	25252
Contig0007463	1	91709	MIII	12	25252
Contig0006890	1	59025	MIII	12	25252
Contig0000551	1	22688	MIII	12	25252
Contig0004809	1	17498	MIII	12	25252
Contig0009462	1	20811	MIII	12	25252
Contig0002192	1	16094	MIII	12	25252
Contig0002082	1	3707	MIII	12	25252
Contig0011232	1	8398	MIII	12	25252
Contig0004850	1	25304	MIII	12	25252
Contig0001902	1	34322	MIII	12	25252
Contig0004583	1	59495	MIII	12	25252
Contig0000882	1	201686	MIII	12	25252
Contig0000064	1	158412	MIII	12	25252
Contig0002751	1	11023	MIII	12	25252
Contig0007589	1	8169	MIII	12	25252
Contig0008062	1	19118	MIII	12	25252
Contig0006362	1	27472	MIII	12	25252
Contig0000310	1	16393	MIII	12	25252
Contig0000182	1	27357	MIII	12	25252
Contig0008556	1	3588	MIII	12	25252
Contig0004621	1	25003	MIII	12	25252
Contig0000675	1	31773	MIII	12	25252
Contig0003547	1	20528	MIII	12	25252
Contig0006592	1	303074	MIII	12	25252
Contig0001521	1	12653	MIII	12	25252
Contig0010259	1	61505	MIII	12	25252
Contig0007682	1	44726	MIII	12	25252
Contig0011195	1	46398	MIII	12	25252
Contig0000574	1	10173	MIII	12	25252
Contig0001525	1	117716	MIII	12	25252
Contig0008795	1	132700	MIII	12	25252
Contig0009002	1	49672	MIII	12	25252
Contig0006394	1	67676	MIII	12	25252
Contig0000991	1	13985	MIII	12	25252
Contig0009582	1	63063	MIII	12	25252
Contig0009487	1	3986	MIII	12	25252
Contig0008878	1	123353	MIII	12	25252
Contig0005849	1	14669	MIII	12	25252
Contig0004388	1	32328	MIII	12	25252
Contig0001102	1	26085	MIII	12	25252
Contig0004571	1	8536	MIII	12	25252
Contig0003645	1	20148	MIII	12	25252
Contig0005547	1	16436	MIII	12	25252
Contig0005920	1	15432	MIII	12	25252
Contig0007096	1	79364	MIII	12	25252
Contig0009895	1	11448	MIII	12	25252
Contig0001305	1	130860	MIII	12	25252
Contig0005932	1	28530	MIII	12	25252
Contig0007340	1	74826	MIII	12	25252
Contig0001216	1	14981	MIII	12	25252
Contig0007228	1	41607	MIII	12	25252
Contig0009687	1	23920	MIII	12	25252
Contig0008432	1	8506	MIII	12	25252
Contig0004574	1	26370	MIII	12	25252
Contig0007008	1	11298	MIII	12	25252
Contig0004289	1	129375	MIII	12	25252
Contig0003354	1	16150	MIII	12	25252
Contig0000845	1	100707	MIII	12	25252
Contig0002338	1	22961	MIII	12	25252
Contig0011288	1	31677	MIII	12	25252
Contig0008837	1	21411	MIII	12	25252
Contig0003368	1	17755	MIII	12	25252
Contig0004554	1	60722	MIII	12	25252
Contig0006498	1	44408	MIII	12	25252
Contig0001461	1	14734	MIII	12	25252
Contig0008656	1	23229	MIII	12	25252
Contig0000189	1	71457	MIII	12	25252
Contig0002547	1	196234	MIII	12	25252
Contig0010792	1	47951	MIII	12	25252
Contig0011231	1	145981	MIII	12	25252
Contig0009351	1	35159	MIII	12	25252
Contig0000615	1	53644	MIII	12	25252
Contig0007221	1	38211	MIII	12	25252
Contig0000799	1	19171	MIII	12	25252
Contig0004129	1	22316	MIII	12	25252
Contig0004135	1	10058	MIII	12	25252
Contig0001759	1	67082	MIII	12	25252
Contig0007041	1	18533	MIII	12	25252
Contig0011126	1	20537	MIII	12	25252
Contig0011187	1	58103	MIII	12	25252
Contig0001795	1	56078	MIII	12	25252
Contig0011228	1	7948	MIII	12	25252
Contig0004484	1	151770	MIII	12	25252
Contig0005090	1	73734	MIII	12	25252
Contig0011060	1	70302	MIII	12	25252
Contig0004650	1	16457	MIII	12	25252
Contig0000527	1	27694	MIII	12	25252
Contig0004465	1	35585	MIII	12	25252
Contig0009883	1	21983	MIII	12	25252
Contig0009972	1	7356	MIII	12	25252
Contig0006086	1	74554	MIII	12	25252
Contig0000513	1	100643	MIII	12	25252
Contig0000722	1	383081	MIII	12	25252
Contig0002956	1	12135	MIII	12	25252
Contig0008823	1	43805	MIII	12	25252
Contig0002307	1	4955	MIII	12	25252
Contig0006988	1	85506	MIII	12	25252
Contig0004126	1	123373	MIII	12	25252
Contig0003694	1	21357	MIII	12	25252
Contig0008107	1	22049	MIII	12	25252
Contig0009380	1	44343	MIII	12	25252
Contig0009619	1	15539	MIII	12	25252
Contig0004251	1	2577	MIII	12	25252
Contig0008033	1	10052	MIII	12	25252
Contig0001324	1	57895	MIII	12	25252
Contig0007934	1	152058	MIII	12	25252
Contig0007802	1	16343	MIII	12	25252
Contig0010257	1	16612	MIII	12	25252
Contig0006132	1	14935	MIII	12	25252
Contig0008671	1	8486	MIII	12	25252
Contig0003367	1	7835	MIII	12	25252
Contig0011078	1	20118	MIII	12	25252
Contig0009706	1	115747	MIII	12	25252
Contig0001191	1	53136	MIII	12	25252
Contig0002712	1	52490	MIII	12	25252
Contig0004726	1	27615	MIII	12	25252
Contig0003086	1	55336	MIII	12	25252
Contig0010987	1	270102	MIII	12	25252
Contig0000564	1	2310	MIII	12	25252
Contig0010003	1	8134	MIII	12	25252
Contig0008174	1	13174	MIII	12	25252
Contig0006467	1	9775	MIII	12	25252
Contig0007712	1	28584	MIII	12	25252
Contig0000577	1	51687	MIII	12	25252
Contig0006790	1	56133	MIII	12	25252
Contig0002021	1	86079	MIII	12	25252
Contig0006918	1	754	MIII	12	25252
Contig0006313	1	37746	MIII	12	25252
Contig0009328	1	30843	MIII	12	25252
Contig0002311	1	179734	MIII	12	25252
Contig0005686	1	844	MIII	12	25252
Contig0004416	1	57601	MIII	12	25252
Contig0009325	1	219397	MIII	12	25252
Contig0000004	1	16259	MIII	12	25252
Contig0001117	1	29170	MIII	12	25252
Contig0001448	1	127346	MIII	12	25252
Contig0001847	1	12785	MIII	12	25252
Contig0005405	1	51022	MIII	12	25252
Contig0002483	1	8364	MIII	12	25252
Contig0004682	1	39923	MIII	12	25252
Contig0006599	1	108032	MIII	12	25252
Contig0000351	1	107462	MIII	12	25252
Contig0010555	1	16788	MIII	12	25252
Contig0007944	1	36916	MIII	12	25252
Contig0004545	1	20553	MIII	12	25252
Contig0008167	1	502076	MIII	12	25252
Contig0008928	1	13086	MIII	12	25252
Contig0000811	1	57477	MIII	12	25252
Contig0010740	1	15439	MIII	12	25252
Contig0003625	1	21516	MIII	12	25252
Contig0006565	1	35749	MIII	12	25252
Contig0003124	1	47192	MIII	12	25252
Contig0000796	1	49953	MIII	12	25252
Contig0009875	1	22622	MIII	12	25252
Contig0011015	1	71323	MIII	12	25252
Contig0009169	1	109194	MIII	12	25252
Contig0006661	1	70334	MIII	12	25252
Contig0009381	1	38408	MIII	12	25252
Contig0011180	1	22645	MIII	12	25252
Contig0001949	1	35602	MIII	12	25252
Contig0011030	1	23832	MIII	12	25252
Contig0000651	1	16924	MIII	12	25252
Contig0002818	1	26525	MIII	12	25252
Contig0002978	1	22992	MIII	12	25252
Contig0010200	1	23606	MIII	12	25252
Contig0001992	1	48371	MIII	12	25252
Contig0010053	1	16042	MIII	12	25252
Contig0008957	1	68428	MIII	12	25252
Contig0005391	1	64787	MIII	12	25252
Contig0002398	1	69343	MIII	12	25252
Contig0001511	1	281505	MIII	12	25252
Contig0003106	1	21320	MIII	12	25252
Contig0000129	1	47367	MIII	12	25252
Contig0002745	1	115799	MIII	12	25252
Contig0001078	1	77890	MIII	12	25252
Contig0001712	1	30079	MIII	12	25252
Contig0002731	1	92976	MIII	12	25252
Contig0007574	1	13385	MIII	12	25252
Contig0007567	1	292909	MIII	12	25252
Contig0006571	1	405809	MIII	12	25252
Contig0002920	1	14437	MIII	12	25252
Contig0004344	1	36088	MIII	12	25252
Contig0003233	1	18635	MIII	12	25252
Contig0011207	1	6514	MIII	12	25252
Contig0009295	1	144604	MIII	12	25252
Contig0008866	1	6459	MIII	12	25252
Contig0001072	1	15746	MIII	12	25252
Contig0001680	1	26967	MIII	12	25252
Contig0002593	1	449878	MIII	12	25252
Contig0000193	1	273619	MIII	12	25252
Contig0008513	1	39400	MIII	12	25252
Contig0003806	1	40603	MIII	12	25252
Contig0001326	1	16762	MIII	12	25252
Contig0007963	1	21591	MIII	12	25252
Contig0000220	1	13632	MIII	12	25252
Contig0001689	1	45361	MIII	12	25252
Contig0008923	1	134409	MIII	12	25252
Contig0005981	1	62783	MIII	12	25252
Contig0006094	1	49586	MIII	12	25252
Contig0000196	1	52994	MIII	12	25252
Contig0009272	1	51022	MIII	12	25252
Contig0004683	1	131966	MIII	12	25252
Contig0008265	1	71793	MIII	12	25252
Contig0004919	1	78408	MIII	12	25252
Contig0000319	1	9047	MIII	12	25252
Contig0000172	1	114078	MIII	12	25252
Contig0002706	1	18316	MIII	12	25252
Contig0009393	1	23496	MIII	12	25252
Contig0009760	1	43013	MIII	12	25252
Contig0004646	1	21931	MIII	12	25252
Contig0001207	1	92213	MIII	12	25252
Contig0004737	1	144203	MIII	12	25252
Contig0000664	1	14663	MIII	12	25252
Contig0004075	1	21098	MIII	12	25252
Contig0000328	1	54906	MIII	12	25252
Contig0004560	1	102238	MIII	12	25252
Contig0010839	1	27525	MIII	12	25252
Contig0006495	1	15589	MIII	12	25252
Contig0000676	1	112776	MIII	12	25252
Contig0008053	1	7948	MIII	12	25252
Contig0001422	1	128528	MIII	12	25252
Contig0003995	1	40116	MIII	12	25252
Contig0010093	1	80263	MIII	12	25252
Contig0004265	1	105377	MIII	12	25252
Contig0009001	1	108447	MIII	12	25252
Contig0007235	1	106372	MIII	12	25252
Contig0005397	1	35675	MIII	12	25252
Contig0001464	1	11717	MIII	12	25252
Contig0004700	1	14322	MIII	12	25252
Contig0011248	1	28967	MIII	12	25252
Contig0010119	1	28224	MIII	12	25252
Contig0010369	1	48689	MIII	12	25252
Contig0004793	1	37585	MIII	12	25252
Contig0010217	1	45726	MIII	12	25252
Contig0000894	1	83978	MIII	12	25252
Contig0011237	1	12923	MIII	12	25252
Contig0009290	1	19501	MIII	12	25252
Contig0010244	1	29029	MIII	12	25252
Contig0002598	1	18532	MIII	12	25252
Contig0005431	1	3405	MIII	12	25252
Contig0006721	1	43208	MIII	12	25252
Contig0004347	1	136106	MIII	12	25252
Contig0004615	1	471623	MIII	12	25252
Contig0005598	1	78030	MIII	12	25252
Contig0006369	1	40499	MIII	12	25252
Contig0007518	1	534972	MIII	12	25252
Contig0007905	1	13725	MIII	12	25252
Contig0003237	1	73059	MIII	12	25252
Contig0004357	1	36634	MIII	12	25252
Contig0004670	1	24963	MIII	12	25252
Contig0009081	1	21424	MIII	12	25252
Contig0000627	1	37423	MIII	12	25252
Contig0000458	1	39014	MIII	12	25252
Contig0006966	1	89557	MIII	12	25252
Contig0010472	1	3936	MIII	12	25252
Contig0004556	1	33840	MIII	12	25252
Contig0007390	1	27670	MIII	12	25252
Contig0002988	1	104114	MIII	12	25252
Contig0004449	1	37694	MIII	12	25252
Contig0005756	1	14669	MIII	12	25252
Contig0009225	1	24742	MIII	12	25252
Contig0002074	1	21703	MIII	12	25252
Contig0004535	1	110928	MIII	12	25252
Contig0003864	1	221123	MIII	12	25252
Contig0010340	1	110275	MIII	12	25252
Contig0010336	1	139881	MIII	12	25252
Contig0008454	1	114597	MIII	12	25252
