Chr	Start	End	species	size	color
AQPM01029499	1	8418	aabys	12	25252
AQPM01029611	1	9975	aabys	12	25252
AQPM01029616	1	9965	aabys	12	25252
AQPM01029713	1	9795	aabys	12	25252
AQPM01029759	1	9733	aabys	12	25252
AQPM01029806	1	9663	aabys	12	25252
AQPM01029861	1	9577	aabys	12	25252
AQPM01029895	1	9544	aabys	12	25252
AQPM01029979	1	9426	aabys	12	25252
AQPM01030655	1	9179	aabys	12	25252
AQPM01030706	1	9119	aabys	12	25252
AQPM01030729	1	9059	aabys	12	25252
AQPM01030740	1	9044	aabys	12	25252
AQPM01030772	1	8976	aabys	12	25252
AQPM01030784	1	8719	aabys	12	25252
AQPM01030785	1	8944	aabys	12	25252
AQPM01030867	1	8826	aabys	12	25252
AQPM01030872	1	8822	aabys	12	25252
AQPM01030983	1	8695	aabys	12	25252
AQPM01030984	1	8688	aabys	12	25252
AQPM01031024	1	8629	aabys	12	25252
AQPM01031042	1	8611	aabys	12	25252
AQPM01031050	1	8407	aabys	12	25252
AQPM01031057	1	8169	aabys	12	25252
AQPM01031058	1	8595	aabys	12	25252
AQPM01031121	1	8491	aabys	12	25252
AQPM01031130	1	8488	aabys	12	25252
AQPM01031131	1	8487	aabys	12	25252
AQPM01031207	1	8361	aabys	12	25252
AQPM01031224	1	8327	aabys	12	25252
AQPM01031273	1	8259	aabys	12	25252
AQPM01031307	1	8209	aabys	12	25252
AQPM01031308	1	8207	aabys	12	25252
AQPM01031333	1	8176	aabys	12	25252
AQPM01031387	1	8078	aabys	12	25252
AQPM01031391	1	8073	aabys	12	25252
AQPM01031394	1	8067	aabys	12	25252
AQPM01031395	1	8061	aabys	12	25252
AQPM01031419	1	8035	aabys	12	25252
AQPM01031451	1	7994	aabys	12	25252
AQPM01031461	1	7987	aabys	12	25252
AQPM01031491	1	7939	aabys	12	25252
AQPM01031520	1	7627	aabys	12	25252
AQPM01031521	1	7901	aabys	12	25252
AQPM01031551	1	7862	aabys	12	25252
AQPM01031560	1	7840	aabys	12	25252
AQPM01031561	1	7836	aabys	12	25252
AQPM01031587	1	7813	aabys	12	25252
AQPM01031650	1	6834	aabys	12	25252
AQPM01031683	1	7700	aabys	12	25252
AQPM01031739	1	7630	aabys	12	25252
AQPM01031757	1	7603	aabys	12	25252
AQPM01031758	1	7602	aabys	12	25252
AQPM01031770	1	7593	aabys	12	25252
AQPM01031799	1	7553	aabys	12	25252
AQPM01031805	1	7547	aabys	12	25252
AQPM01031811	1	7542	aabys	12	25252
AQPM01031820	1	7528	aabys	12	25252
AQPM01031865	1	7454	aabys	12	25252
AQPM01031868	1	7445	aabys	12	25252
AQPM01031887	1	7432	aabys	12	25252
AQPM01031896	1	7426	aabys	12	25252
AQPM01031899	1	7419	aabys	12	25252
AQPM01031902	1	7414	aabys	12	25252
AQPM01031957	1	7372	aabys	12	25252
AQPM01031988	1	7324	aabys	12	25252
AQPM01032007	1	7299	aabys	12	25252
AQPM01032008	1	7299	aabys	12	25252
AQPM01032013	1	7293	aabys	12	25252
AQPM01032058	1	7252	aabys	12	25252
AQPM01032068	1	7248	aabys	12	25252
AQPM01032090	1	7221	aabys	12	25252
AQPM01032095	1	7216	aabys	12	25252
AQPM01032148	1	7161	aabys	12	25252
AQPM01032270	1	7021	aabys	12	25252
AQPM01032299	1	6980	aabys	12	25252
AQPM01032300	1	6980	aabys	12	25252
AQPM01032313	1	6960	aabys	12	25252
AQPM01032340	1	6926	aabys	12	25252
AQPM01032368	1	6899	aabys	12	25252
AQPM01032386	1	6880	aabys	12	25252
AQPM01032403	1	6867	aabys	12	25252
AQPM01032410	1	6857	aabys	12	25252
AQPM01032436	1	6843	aabys	12	25252
AQPM01032506	1	6437	aabys	12	25252
AQPM01032519	1	6752	aabys	12	25252
AQPM01032524	1	6743	aabys	12	25252
AQPM01032606	1	6663	aabys	12	25252
AQPM01032626	1	6643	aabys	12	25252
AQPM01032630	1	6637	aabys	12	25252
AQPM01032649	1	6630	aabys	12	25252
AQPM01032659	1	6613	aabys	12	25252
AQPM01032662	1	6603	aabys	12	25252
AQPM01032665	1	6594	aabys	12	25252
AQPM01032728	1	6516	aabys	12	25252
AQPM01032750	1	6486	aabys	12	25252
AQPM01032760	1	6474	aabys	12	25252
AQPM01032761	1	6474	aabys	12	25252
AQPM01032792	1	5409	aabys	12	25252
AQPM01032795	1	6449	aabys	12	25252
AQPM01032800	1	6305	aabys	12	25252
AQPM01032829	1	6399	aabys	12	25252
AQPM01032848	1	6380	aabys	12	25252
AQPM01032849	1	6380	aabys	12	25252
AQPM01032858	1	6366	aabys	12	25252
AQPM01032879	1	6350	aabys	12	25252
AQPM01032892	1	6340	aabys	12	25252
AQPM01032893	1	6336	aabys	12	25252
AQPM01032897	1	6336	aabys	12	25252
AQPM01032898	1	6335	aabys	12	25252
AQPM01032977	1	6232	aabys	12	25252
AQPM01032984	1	6225	aabys	12	25252
AQPM01033042	1	6165	aabys	12	25252
AQPM01033058	1	6140	aabys	12	25252
AQPM01033061	1	6136	aabys	12	25252
AQPM01033068	1	6127	aabys	12	25252
AQPM01033077	1	6115	aabys	12	25252
AQPM01033093	1	6103	aabys	12	25252
AQPM01033109	1	4855	aabys	12	25252
AQPM01033110	1	6084	aabys	12	25252
AQPM01033128	1	6071	aabys	12	25252
AQPM01033156	1	6054	aabys	12	25252
AQPM01033162	1	6038	aabys	12	25252
AQPM01033202	1	6011	aabys	12	25252
AQPM01033226	1	5993	aabys	12	25252
AQPM01033245	1	5974	aabys	12	25252
AQPM01033299	1	5910	aabys	12	25252
AQPM01033305	1	5901	aabys	12	25252
AQPM01033317	1	5889	aabys	12	25252
AQPM01033318	1	5887	aabys	12	25252
AQPM01033323	1	5865	aabys	12	25252
AQPM01033341	1	5855	aabys	12	25252
AQPM01033365	1	5823	aabys	12	25252
AQPM01033366	1	5816	aabys	12	25252
AQPM01033369	1	5296	aabys	12	25252
AQPM01033374	1	5809	aabys	12	25252
AQPM01033403	1	5792	aabys	12	25252
AQPM01033416	1	5776	aabys	12	25252
AQPM01033417	1	5776	aabys	12	25252
AQPM01033420	1	5773	aabys	12	25252
AQPM01033441	1	5751	aabys	12	25252
AQPM01033446	1	5740	aabys	12	25252
AQPM01033447	1	5733	aabys	12	25252
AQPM01033473	1	5697	aabys	12	25252
AQPM01033484	1	5682	aabys	12	25252
AQPM01033485	1	5680	aabys	12	25252
AQPM01033510	1	5656	aabys	12	25252
AQPM01033541	1	4945	aabys	12	25252
AQPM01033542	1	5629	aabys	12	25252
AQPM01033579	1	5579	aabys	12	25252
AQPM01033587	1	5561	aabys	12	25252
AQPM01033594	1	5548	aabys	12	25252
AQPM01033595	1	5545	aabys	12	25252
AQPM01033623	1	5522	aabys	12	25252
AQPM01033642	1	5499	aabys	12	25252
AQPM01033690	1	5448	aabys	12	25252
AQPM01033693	1	5446	aabys	12	25252
AQPM01033694	1	5444	aabys	12	25252
AQPM01033789	1	5356	aabys	12	25252
AQPM01033816	1	5331	aabys	12	25252
AQPM01033831	1	5311	aabys	12	25252
AQPM01033843	1	5302	aabys	12	25252
AQPM01033850	1	5290	aabys	12	25252
AQPM01033893	1	5263	aabys	12	25252
AQPM01033896	1	5257	aabys	12	25252
AQPM01033904	1	5245	aabys	12	25252
AQPM01033919	1	5233	aabys	12	25252
AQPM01033920	1	5229	aabys	12	25252
AQPM01033928	1	5217	aabys	12	25252
AQPM01033965	1	5188	aabys	12	25252
AQPM01033979	1	5172	aabys	12	25252
AQPM01033985	1	5169	aabys	12	25252
AQPM01033992	1	5159	aabys	12	25252
AQPM01033996	1	5153	aabys	12	25252
AQPM01034019	1	5127	aabys	12	25252
AQPM01034049	1	5104	aabys	12	25252
AQPM01034060	1	5098	aabys	12	25252
AQPM01034079	1	5074	aabys	12	25252
AQPM01034080	1	5071	aabys	12	25252
AQPM01034089	1	5062	aabys	12	25252
AQPM01034112	1	5048	aabys	12	25252
AQPM01034113	1	5046	aabys	12	25252
AQPM01034139	1	5031	aabys	12	25252
AQPM01034169	1	5013	aabys	12	25252
AQPM01034178	1	5008	aabys	12	25252
AQPM01034196	1	4979	aabys	12	25252
AQPM01034201	1	4978	aabys	12	25252
AQPM01034214	1	4969	aabys	12	25252
AQPM01034243	1	4943	aabys	12	25252
AQPM01034244	1	4934	aabys	12	25252
AQPM01034251	1	4930	aabys	12	25252
AQPM01034252	1	4929	aabys	12	25252
AQPM01034253	1	4929	aabys	12	25252
AQPM01034265	1	4716	aabys	12	25252
AQPM01034296	1	4883	aabys	12	25252
AQPM01034299	1	4880	aabys	12	25252
AQPM01034300	1	4880	aabys	12	25252
AQPM01034303	1	4876	aabys	12	25252
AQPM01034304	1	4876	aabys	12	25252
AQPM01034314	1	4862	aabys	12	25252
AQPM01034327	1	4851	aabys	12	25252
AQPM01034328	1	4851	aabys	12	25252
AQPM01034329	1	4849	aabys	12	25252
AQPM01034345	1	4832	aabys	12	25252
AQPM01034363	1	4812	aabys	12	25252
AQPM01034374	1	4806	aabys	12	25252
AQPM01034390	1	4613	aabys	12	25252
AQPM01034416	1	4765	aabys	12	25252
AQPM01034417	1	4764	aabys	12	25252
AQPM01034418	1	4756	aabys	12	25252
AQPM01034445	1	4738	aabys	12	25252
AQPM01034448	1	4737	aabys	12	25252
AQPM01034456	1	4727	aabys	12	25252
AQPM01034472	1	4714	aabys	12	25252
AQPM01034491	1	4700	aabys	12	25252
AQPM01034492	1	4699	aabys	12	25252
AQPM01034524	1	4667	aabys	12	25252
AQPM01034529	1	4665	aabys	12	25252
AQPM01034530	1	4664	aabys	12	25252
AQPM01034552	1	4646	aabys	12	25252
AQPM01034573	1	4636	aabys	12	25252
AQPM01034594	1	4613	aabys	12	25252
AQPM01034595	1	4613	aabys	12	25252
AQPM01034604	1	4609	aabys	12	25252
AQPM01034611	1	4598	aabys	12	25252
AQPM01034637	1	4584	aabys	12	25252
AQPM01034638	1	4582	aabys	12	25252
AQPM01034645	1	4575	aabys	12	25252
AQPM01034661	1	4564	aabys	12	25252
AQPM01034683	1	4552	aabys	12	25252
AQPM01034686	1	4547	aabys	12	25252
AQPM01034724	1	4508	aabys	12	25252
AQPM01034725	1	4506	aabys	12	25252
AQPM01034734	1	4501	aabys	12	25252
AQPM01034739	1	4494	aabys	12	25252
AQPM01034740	1	4493	aabys	12	25252
AQPM01034741	1	4492	aabys	12	25252
AQPM01034747	1	4485	aabys	12	25252
AQPM01034752	1	4480	aabys	12	25252
AQPM01034760	1	4469	aabys	12	25252
AQPM01034765	1	4466	aabys	12	25252
AQPM01034766	1	4460	aabys	12	25252
AQPM01034769	1	4458	aabys	12	25252
AQPM01034772	1	4456	aabys	12	25252
AQPM01034779	1	4445	aabys	12	25252
AQPM01034792	1	4428	aabys	12	25252
AQPM01034793	1	4427	aabys	12	25252
AQPM01034794	1	4426	aabys	12	25252
AQPM01034800	1	4420	aabys	12	25252
AQPM01034803	1	4243	aabys	12	25252
AQPM01034838	1	4383	aabys	12	25252
AQPM01034844	1	4376	aabys	12	25252
AQPM01034845	1	4376	aabys	12	25252
AQPM01034864	1	4363	aabys	12	25252
AQPM01034867	1	4355	aabys	12	25252
AQPM01034879	1	4338	aabys	12	25252
AQPM01034885	1	4333	aabys	12	25252
AQPM01034888	1	4330	aabys	12	25252
AQPM01034895	1	4325	aabys	12	25252
AQPM01034898	1	4322	aabys	12	25252
AQPM01034906	1	4316	aabys	12	25252
AQPM01034915	1	4311	aabys	12	25252
AQPM01034921	1	4306	aabys	12	25252
AQPM01034959	1	4260	aabys	12	25252
AQPM01034960	1	4261	aabys	12	25252
AQPM01034967	1	4247	aabys	12	25252
AQPM01034968	1	4247	aabys	12	25252
AQPM01034979	1	4234	aabys	12	25252
AQPM01034999	1	4214	aabys	12	25252
AQPM01035022	1	4197	aabys	12	25252
AQPM01035028	1	4195	aabys	12	25252
AQPM01035041	1	4183	aabys	12	25252
AQPM01035052	1	4173	aabys	12	25252
AQPM01035057	1	4172	aabys	12	25252
AQPM01035058	1	4171	aabys	12	25252
AQPM01035075	1	3922	aabys	12	25252
AQPM01035083	1	3900	aabys	12	25252
AQPM01035087	1	4142	aabys	12	25252
AQPM01035091	1	4131	aabys	12	25252
AQPM01035098	1	4122	aabys	12	25252
AQPM01035103	1	4113	aabys	12	25252
AQPM01035151	1	4083	aabys	12	25252
AQPM01035159	1	4081	aabys	12	25252
AQPM01035160	1	4079	aabys	12	25252
AQPM01035179	1	3798	aabys	12	25252
AQPM01035183	1	4058	aabys	12	25252
AQPM01035194	1	4046	aabys	12	25252
AQPM01035211	1	4033	aabys	12	25252
AQPM01035217	1	4030	aabys	12	25252
AQPM01035218	1	4029	aabys	12	25252
AQPM01035219	1	4028	aabys	12	25252
AQPM01035224	1	4021	aabys	12	25252
AQPM01035237	1	4005	aabys	12	25252
AQPM01035242	1	3994	aabys	12	25252
AQPM01035245	1	3991	aabys	12	25252
AQPM01035248	1	3987	aabys	12	25252
AQPM01035253	1	3976	aabys	12	25252
AQPM01035256	1	3975	aabys	12	25252
AQPM01035257	1	3974	aabys	12	25252
AQPM01035264	1	3969	aabys	12	25252
AQPM01035267	1	3968	aabys	12	25252
AQPM01035273	1	3959	aabys	12	25252
AQPM01035280	1	3953	aabys	12	25252
AQPM01035281	1	3952	aabys	12	25252
AQPM01035285	1	3953	aabys	12	25252
AQPM01035286	1	3952	aabys	12	25252
AQPM01035287	1	3952	aabys	12	25252
AQPM01035308	1	3935	aabys	12	25252
AQPM01035317	1	3924	aabys	12	25252
AQPM01035318	1	3922	aabys	12	25252
AQPM01035325	1	3913	aabys	12	25252
AQPM01035340	1	3904	aabys	12	25252
AQPM01035350	1	3900	aabys	12	25252
AQPM01035363	1	3884	aabys	12	25252
AQPM01035366	1	3699	aabys	12	25252
AQPM01035375	1	3869	aabys	12	25252
AQPM01035380	1	3866	aabys	12	25252
AQPM01035385	1	3861	aabys	12	25252
AQPM01035386	1	3860	aabys	12	25252
AQPM01035391	1	3851	aabys	12	25252
AQPM01035412	1	3838	aabys	12	25252
AQPM01035437	1	3829	aabys	12	25252
AQPM01035442	1	3823	aabys	12	25252
AQPM01035445	1	3821	aabys	12	25252
AQPM01035458	1	3796	aabys	12	25252
AQPM01035469	1	3787	aabys	12	25252
AQPM01035491	1	3756	aabys	12	25252
AQPM01035516	1	3725	aabys	12	25252
AQPM01035524	1	3717	aabys	12	25252
AQPM01035525	1	3718	aabys	12	25252
AQPM01035532	1	3710	aabys	12	25252
AQPM01035549	1	3699	aabys	12	25252
AQPM01035552	1	3697	aabys	12	25252
AQPM01035553	1	3697	aabys	12	25252
AQPM01035554	1	3698	aabys	12	25252
AQPM01035555	1	3696	aabys	12	25252
AQPM01035574	1	3675	aabys	12	25252
AQPM01035575	1	3673	aabys	12	25252
AQPM01035583	1	3665	aabys	12	25252
AQPM01035584	1	3665	aabys	12	25252
AQPM01035598	1	3647	aabys	12	25252
AQPM01035603	1	3646	aabys	12	25252
AQPM01035604	1	3641	aabys	12	25252
AQPM01035605	1	3640	aabys	12	25252
AQPM01035608	1	3639	aabys	12	25252
AQPM01035622	1	3629	aabys	12	25252
AQPM01035628	1	3629	aabys	12	25252
AQPM01035641	1	3501	aabys	12	25252
AQPM01035655	1	3613	aabys	12	25252
AQPM01035656	1	3609	aabys	12	25252
AQPM01035671	1	3598	aabys	12	25252
AQPM01035674	1	3594	aabys	12	25252
AQPM01035679	1	3594	aabys	12	25252
AQPM01035684	1	3588	aabys	12	25252
AQPM01035687	1	3580	aabys	12	25252
AQPM01035692	1	3571	aabys	12	25252
AQPM01035693	1	3571	aabys	12	25252
AQPM01035696	1	3372	aabys	12	25252
AQPM01035699	1	3567	aabys	12	25252
AQPM01035706	1	3563	aabys	12	25252
AQPM01035729	1	3537	aabys	12	25252
AQPM01035734	1	3531	aabys	12	25252
AQPM01035737	1	3526	aabys	12	25252
AQPM01035738	1	3519	aabys	12	25252
AQPM01035743	1	3511	aabys	12	25252
AQPM01035744	1	3512	aabys	12	25252
AQPM01035752	1	3509	aabys	12	25252
AQPM01035763	1	3504	aabys	12	25252
AQPM01035772	1	3496	aabys	12	25252
AQPM01035781	1	3488	aabys	12	25252
AQPM01035782	1	3488	aabys	12	25252
AQPM01035789	1	3484	aabys	12	25252
AQPM01035800	1	3482	aabys	12	25252
AQPM01035803	1	3479	aabys	12	25252
AQPM01035804	1	3478	aabys	12	25252
AQPM01035807	1	2307	aabys	12	25252
AQPM01035823	1	3461	aabys	12	25252
AQPM01035824	1	3461	aabys	12	25252
AQPM01035835	1	3455	aabys	12	25252
AQPM01035836	1	3453	aabys	12	25252
AQPM01035843	1	3446	aabys	12	25252
AQPM01035844	1	3446	aabys	12	25252
AQPM01035847	1	3442	aabys	12	25252
AQPM01035848	1	3440	aabys	12	25252
AQPM01035862	1	3429	aabys	12	25252
AQPM01035863	1	3428	aabys	12	25252
AQPM01035864	1	3426	aabys	12	25252
AQPM01035867	1	3426	aabys	12	25252
AQPM01035871	1	3422	aabys	12	25252
AQPM01035878	1	3417	aabys	12	25252
AQPM01035898	1	3395	aabys	12	25252
AQPM01035899	1	3395	aabys	12	25252
AQPM01035912	1	3387	aabys	12	25252
AQPM01035915	1	3382	aabys	12	25252
AQPM01035924	1	3375	aabys	12	25252
AQPM01035931	1	3371	aabys	12	25252
AQPM01035932	1	3363	aabys	12	25252
AQPM01035933	1	3361	aabys	12	25252
AQPM01035939	1	3357	aabys	12	25252
AQPM01035946	1	3351	aabys	12	25252
AQPM01035947	1	3351	aabys	12	25252
AQPM01035948	1	3350	aabys	12	25252
AQPM01035963	1	3339	aabys	12	25252
AQPM01035964	1	3338	aabys	12	25252
AQPM01035973	1	3330	aabys	12	25252
AQPM01035978	1	3325	aabys	12	25252
AQPM01035994	1	3314	aabys	12	25252
AQPM01036001	1	3311	aabys	12	25252
AQPM01036004	1	3308	aabys	12	25252
AQPM01036005	1	3307	aabys	12	25252
AQPM01036014	1	3303	aabys	12	25252
AQPM01036015	1	3303	aabys	12	25252
AQPM01036022	1	3300	aabys	12	25252
AQPM01036025	1	3289	aabys	12	25252
AQPM01036028	1	3287	aabys	12	25252
AQPM01036029	1	3285	aabys	12	25252
AQPM01036036	1	3281	aabys	12	25252
AQPM01036039	1	3279	aabys	12	25252
AQPM01036040	1	3278	aabys	12	25252
AQPM01036045	1	3276	aabys	12	25252
AQPM01036052	1	3264	aabys	12	25252
AQPM01036053	1	3265	aabys	12	25252
AQPM01036054	1	3262	aabys	12	25252
AQPM01036057	1	3257	aabys	12	25252
AQPM01036058	1	3255	aabys	12	25252
AQPM01036068	1	3251	aabys	12	25252
AQPM01036073	1	3245	aabys	12	25252
AQPM01036074	1	3242	aabys	12	25252
AQPM01036085	1	3235	aabys	12	25252
AQPM01036098	1	3228	aabys	12	25252
AQPM01036099	1	3226	aabys	12	25252
AQPM01036113	1	3218	aabys	12	25252
AQPM01036126	1	3205	aabys	12	25252
AQPM01036136	1	3200	aabys	12	25252
AQPM01036139	1	3193	aabys	12	25252
AQPM01036146	1	3187	aabys	12	25252
AQPM01036147	1	3186	aabys	12	25252
AQPM01036161	1	3183	aabys	12	25252
AQPM01036168	1	3177	aabys	12	25252
AQPM01036177	1	3166	aabys	12	25252
AQPM01036190	1	3162	aabys	12	25252
AQPM01036195	1	3154	aabys	12	25252
AQPM01036200	1	3149	aabys	12	25252
AQPM01036205	1	3140	aabys	12	25252
AQPM01036223	1	3128	aabys	12	25252
AQPM01036229	1	3127	aabys	12	25252
AQPM01036230	1	3126	aabys	12	25252
AQPM01036239	1	3123	aabys	12	25252
AQPM01036248	1	3112	aabys	12	25252
AQPM01036257	1	3107	aabys	12	25252
AQPM01036258	1	3105	aabys	12	25252
AQPM01036267	1	3098	aabys	12	25252
AQPM01036268	1	3099	aabys	12	25252
AQPM01036271	1	3098	aabys	12	25252
AQPM01036277	1	3090	aabys	12	25252
AQPM01036278	1	3089	aabys	12	25252
AQPM01036279	1	3088	aabys	12	25252
AQPM01036282	1	3086	aabys	12	25252
AQPM01036283	1	3082	aabys	12	25252
AQPM01036292	1	3076	aabys	12	25252
AQPM01036293	1	3074	aabys	12	25252
AQPM01036294	1	3072	aabys	12	25252
AQPM01036301	1	3069	aabys	12	25252
AQPM01036304	1	3067	aabys	12	25252
AQPM01036307	1	3064	aabys	12	25252
AQPM01036310	1	3057	aabys	12	25252
AQPM01036317	1	3051	aabys	12	25252
AQPM01036320	1	3044	aabys	12	25252
AQPM01036327	1	2801	aabys	12	25252
AQPM01036328	1	3040	aabys	12	25252
AQPM01036333	1	3038	aabys	12	25252
AQPM01036338	1	3033	aabys	12	25252
AQPM01036343	1	3030	aabys	12	25252
AQPM01036352	1	3025	aabys	12	25252
AQPM01036355	1	3018	aabys	12	25252
AQPM01036358	1	3018	aabys	12	25252
AQPM01036368	1	3013	aabys	12	25252
AQPM01036369	1	3013	aabys	12	25252
AQPM01036372	1	3006	aabys	12	25252
AQPM01036373	1	3001	aabys	12	25252
AQPM01036374	1	3000	aabys	12	25252
AQPM01036375	1	2996	aabys	12	25252
AQPM01036376	1	2996	aabys	12	25252
AQPM01036388	1	2980	aabys	12	25252
AQPM01036391	1	2981	aabys	12	25252
AQPM01036392	1	2981	aabys	12	25252
AQPM01036409	1	2974	aabys	12	25252
AQPM01036414	1	2970	aabys	12	25252
AQPM01036415	1	2966	aabys	12	25252
AQPM01036416	1	2966	aabys	12	25252
AQPM01036419	1	2966	aabys	12	25252
AQPM01036424	1	2961	aabys	12	25252
AQPM01036432	1	2956	aabys	12	25252
AQPM01036433	1	2954	aabys	12	25252
AQPM01036434	1	2951	aabys	12	25252
AQPM01036435	1	2950	aabys	12	25252
AQPM01036438	1	2948	aabys	12	25252
AQPM01036447	1	2947	aabys	12	25252
AQPM01036448	1	2946	aabys	12	25252
AQPM01036453	1	2934	aabys	12	25252
AQPM01036456	1	2934	aabys	12	25252
AQPM01036461	1	2933	aabys	12	25252
AQPM01036464	1	2927	aabys	12	25252
AQPM01036467	1	2922	aabys	12	25252
AQPM01036470	1	2920	aabys	12	25252
AQPM01036471	1	2919	aabys	12	25252
AQPM01036472	1	2918	aabys	12	25252
AQPM01036473	1	2916	aabys	12	25252
AQPM01036482	1	2909	aabys	12	25252
AQPM01036487	1	2905	aabys	12	25252
AQPM01036488	1	2906	aabys	12	25252
AQPM01036491	1	2904	aabys	12	25252
AQPM01036492	1	2903	aabys	12	25252
AQPM01036493	1	2903	aabys	12	25252
AQPM01036496	1	2900	aabys	12	25252
AQPM01036497	1	2900	aabys	12	25252
AQPM01036498	1	2700	aabys	12	25252
AQPM01036501	1	2897	aabys	12	25252
AQPM01036513	1	2881	aabys	12	25252
AQPM01036523	1	2877	aabys	12	25252
AQPM01036528	1	2875	aabys	12	25252
AQPM01036529	1	2874	aabys	12	25252
AQPM01036530	1	2874	aabys	12	25252
AQPM01036531	1	2868	aabys	12	25252
AQPM01036532	1	2868	aabys	12	25252
AQPM01036561	1	2844	aabys	12	25252
AQPM01036562	1	2842	aabys	12	25252
AQPM01036581	1	2823	aabys	12	25252
AQPM01036582	1	2823	aabys	12	25252
AQPM01036585	1	2821	aabys	12	25252
AQPM01036586	1	2821	aabys	12	25252
AQPM01036589	1	2819	aabys	12	25252
AQPM01036594	1	2815	aabys	12	25252
AQPM01036601	1	2808	aabys	12	25252
AQPM01036602	1	2807	aabys	12	25252
AQPM01036609	1	2801	aabys	12	25252
AQPM01036612	1	2797	aabys	12	25252
AQPM01036613	1	2797	aabys	12	25252
AQPM01036614	1	2797	aabys	12	25252
AQPM01036619	1	2786	aabys	12	25252
AQPM01036620	1	2786	aabys	12	25252
